text,label,ZeroShot,COT,FewShot,COT_with_examples,APE
'Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The maintenance of the product will fall within the established corporate maintenance windows.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',Quality,Quality,Quality,Quality,Quality,Quality
'System shall allow users to update their billing and contact information via the “My Account” section of the website.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall use a standard navigation menu familiar to most web users.',Quality,Quality,Non-Quality,Quality,Non-Quality,Quality
'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.',Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The look and feel of the system shall conform to the user interface standards of the smart device.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
': The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The Disputes System shall provide view access capability for authorized users of the application.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.',Quality,Quality,Quality,Quality,Quality,Quality
'The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.',Non-Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The lead washing process will operate within the established physical web service structure.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',Quality,Quality,Non-Quality,Non-Quality,Quality,Quality
'Website shall allow customers to add their own movie review for a selected movie.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'All streaming movie sales will be logged in the database and accessible by the administrator.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',Quality,Quality,Quality,Quality,Quality,Quality
'The website will provide a help section with answers and solutions to common problems.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The application shall have a downtime of at most 10 minutes per year.',Quality,Quality,Quality,Quality,Quality,Quality
'A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'System shall let the administrator add/remove categories on the website in under 5 minutes.',Quality,Quality,Quality,Quality,Quality,Quality
'The realtor shall be notified of new client appointments after automatic synchronization with office system',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'All of the users shall be able to use the system after one day of training.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The system shall filter data by: Venues and Key Events.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product will notify employees of meeting invitations.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds',Quality,Quality,Quality,Quality,Quality,Quality
'The adjuster shall enter the preferred repair facility on the estimate assignment.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The website shall continue to operate if the payment gateway goes down.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The product shall allow for intuitive searching of available conference rooms.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The adjuster shall review the collision estimate.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Website must be able to support free trial periods with various parameters set by the Izogn Manager.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'PME Subsystem shall allow for a product to exist in more than one submenu',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall allow an organizer to invite other employees to meetings.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'A cohort shall be associated to one Program of Study offered by the department.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall retain user preferences in the event of a failure.',Non-Quality,Quality,Quality,Quality,Non-Quality,Quality
'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The website shall prevent its data from being corrupted when incorrect data is entered in.',Quality,Quality,Quality,Quality,Quality,Quality
'The system shall display Events or Activities.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'All movies shall be streamed on demand at any time of the day.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The user shall select to view the preferred repair facility ratings.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',Quality,Quality,Quality,Quality,Quality,Quality
'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',Quality,Quality,Quality,Quality,Quality,Quality
The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.',Quality,Quality,Quality,Quality,Quality,Quality
'Washing parameters will be updated during scheduled maintenance hours.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The user shall be able to get driving directions to a selected property',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user’s computer.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall free of computer viruses.',Quality,Quality,Quality,Quality,Quality,Quality
'User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications',Quality,Quality,Quality,Non-Quality,Quality,Quality
'The system shall be able to display a printable summary of the system log.',Non-Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The system shall be available for use between the hours of 8am and 6pm.',Quality,Quality,Quality,Quality,Quality,Quality
'When the hit results in sinking a ship the product shall notify the players that the ship was sunk.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be able to display calendar dates and times according to the user’s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',Quality,Quality,Quality,Non-Quality,Quality,Non-Quality
'The product shall have a conservative and professional appearance.',Quality,Quality,Quality,Quality,Quality,Quality
'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be available 24 hours per day seven days per week.',Quality,Quality,Quality,Quality,Quality,Quality
'When a game is ended the product shall allow each player to remove himself or herself from the list of players.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'For each turn the product shall identify one player as offensive status and one player as defensive status.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'While streaming a movie buffering should only occur if there is latency in the user’s connection.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'Each page shall contain a navigation menu which shows the index into which the current page is contained.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The system shall provide charts for the Activity or Event actual versus assumed time.',Non-Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'All registered customer information shall be stored and maintained in the database even after the customer cancels their account.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The audit report shall be displayed to the user.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.',Non-Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.',Quality,Quality,Quality,Quality,Quality,Quality
'System will allow customers to pay for a streaming movie with a pre-paid card.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The average number of recycled parts records per day shall be 50 000.',Quality,Quality,Quality,Quality,Quality,Quality
'The product will function alongside server software on any operating system where the Java runtime can be installed.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall comply with corporate User Interface Guidelines',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The streaming server will have anti-virus software to prevent infection of malicious viruses.',Quality,Quality,Quality,Quality,Quality,Quality
'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The preferred repair facility shall be returned to the user.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'The product shall record all the equipment that has been reserved.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be supported using the corporate support center.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'A secondary database will be used to store historical statistics and data.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.',Quality,Quality,Quality,Non-Quality,Quality,Non-Quality
'The Disputes System shall provide update access capability for authorized users of the application.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall able to handle a large number of games simultaneously.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The system shall have a MDI form that allows for the viewing of the graph and the data table.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall update existing conference rooms.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The website shall not be offensive to religious or ethnic groups.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Out of 1000 accesses to the system the system is available 999 times.',Quality,Quality,Quality,Quality,Quality,Quality
The product shall ensure that only supervisors can enter a caller’s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'All authorized users once authenticated must be able to logon to the Disputes System',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user’s access level. The report will be reviewed for auditing purposes.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls',Quality,Quality,Non-Quality,Quality,Quality,Quality
'The system shall interface with CampusConnect’s central server',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday – Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The number of mistakes noted by the students shall be decreased by 50% in the first year.',Quality,Quality,Quality,Quality,Non-Quality,Quality
'The system shall color code events according to their variance from current time.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Only authorized personnel can access customer records in the database.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.',Quality,Quality,Quality,Quality,Quality,Quality
'Each team owner will need to use a username and password in order to be authenticated to reach the team owner’s page',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The streaming server will support 50 simultaneous streaming connections.',Quality,Quality,Quality,Quality,Quality,Quality
'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The website will allow customers to search for movies by title actor or director.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The system shall display Events in a vertical table by time.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall generate a CMA report in an acceptable time.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall display conference rooms according to search parameters.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'Only the System Administrator shall be able to reset a revoked user logon account',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall assign the organizers contact information to each meeting they create.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',Quality,Quality,Quality,Quality,Quality,Quality
'All credit card information will be encrypted in the database.',Quality,Quality,Quality,Quality,Quality,Quality
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall comply with insurance regulations regarding claims processing.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product.',Quality,Quality,Quality,Quality,Quality,Quality
'The Disputes System must be accessible by both internal and external users.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall operate in offline mode whenever internet connection is unavailable.',Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The System shall not require additional third party licenses resulting in royalty fees.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall have a customizable Look and Feel.',Quality,Quality,Non-Quality,Quality,Non-Quality,Quality
'The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall allow the player to position ships vertically on their grid.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The product shall allow a player to end a game at any time during the game.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The product shall use symbols and words that are naturally understandable by the realtor community.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Quality
'The Disputes application shall support 350 concurrent users without any degradation of performance in the application.',Quality,Quality,Quality,Quality,Quality,Quality
'The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',Quality,Quality,Quality,Quality,Non-Quality,Quality
'System shall let customers register on the website as a “pay as you go” user in under 5 minutes.',Quality,Quality,Quality,Quality,Non-Quality,Quality
'Izogn Administrator must be able to add new products to the website within 2 minutes.',Quality,Quality,Quality,Non-Quality,Quality,Quality
'The product shall be able to delete room equipment.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.',Quality,Quality,Quality,Non-Quality,Quality,Quality
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.',Quality,Quality,Quality,Quality,Quality,Quality
'The product shall comply with the estimatics laws relating to recycled parts usage.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The System shall utilize currently owned computer equipment.',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.',Quality,Quality,Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall be able to be installed in any operating environment within 2 days.',Quality,Quality,Quality,Quality,Quality,Quality
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',Quality,Quality,Quality,Quality,Quality,Quality
'The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports',Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The audit report shall include the percentage of available recycled parts used in the estimate ',Non-Quality,Quality,Quality,Non-Quality,Non-Quality,Quality
'The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player’s ships which had not been previously marked as sunk.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'The product shall maintain a list of players.',Non-Quality,Quality,Non-Quality,Non-Quality,Non-Quality,Non-Quality
'All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.',Quality,Quality,Quality,Quality,Quality,Quality
