text,label,ZeroShot,COT,FewShot,COT_with_examples,APE
'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'System shall let the administrator add/remove categories on the website in under 5 minutes.',Functional,Functional,Functional,Functional,Functional,Functional
'The website shall continue to operate if the streaming server goes down.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.',Functional,Functional,Functional,Functional,Functional,Functional
'The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The System shall allow generation of Inventory Quantity Adjustment documents on demand.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Website shall request and authorize credit card payment before allowing a user to stream a movie.',Functional,Functional,Functional,Functional,Functional,Functional
'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Only authorized users shall have access to clinical site information.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall prevent its data from incorrect data being introduced.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'If the shot was marked as a hit the product shall allow the offensive player to define a shot.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player’s ships which had not been previously marked as sunk.',Functional,Functional,Functional,Functional,Functional,Functional
'Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall display room equipment according to search parameters.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be supported using the corporate support center.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The system shall filter data by: Venues and Key Events.',Functional,Functional,Functional,Functional,Functional,Functional
'Out of 1000 accesses to the system the system is available 999 times.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Users shall be able to view at least 25 NFL player statistics and points on each page.',Functional,Functional,Functional,Functional,Functional,Functional
'Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.',Functional,Functional,Functional,Functional,Functional,Functional
'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The realtor shall be able to retrieve a map showing property locations for a specified area',Functional,Functional,Functional,Functional,Functional,Functional
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
'The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.',Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product will be available for licensing as a one-server two-five servers or five-or-more servers license.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The application shall run on a web application server.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Functional
'Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes application shall support 350 concurrent users without any degradation of performance in the application.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Only registered realtors shall be able to access the system.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.',Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'All of the users shall be able to use the system after one day of training.',Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'All updates to data files or database must be initiated from the Disputes System.',Non-Functional,Functional,Functional,Functional,Non-Functional,Functional
'The product will display an available status for unreserved conference rooms.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be easy for a realtor to learn.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The user shall be able to get driving directions to a selected property',Functional,Functional,Functional,Functional,Functional,Functional
'The product must be able to interface with various email servers. The product shall be able to send email.',Non-Functional,Functional,Functional,Functional,Functional,Non-Functional
'The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall comply with corporate color scheme',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Website shall allow the Izogn administrator to approve a review posted by a customer.',Functional,Functional,Functional,Functional,Functional,Functional
'A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall use a standard navigation menu familiar to most web users.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The average number of recycled parts records per day shall be 50 000.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The product will be able to delete conference rooms.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be expected to operate for at least 5 years for each customer installation.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.',Functional,Functional,Functional,Functional,Functional,Functional
'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The realtor shall be notified of new client appointments after automatic synchronization with office system',Functional,Functional,Functional,Functional,Functional,Functional
'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.',Functional,Functional,Functional,Functional,Functional,Functional
'The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product will notify employees of meeting invitations.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be used in office environments.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The system shall locate the preferred repair facility with the highest ratings for the input criteria',Functional,Functional,Functional,Functional,Functional,Functional
'Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.',Functional,Functional,Functional,Functional,Functional,Functional
'If the shot was marked as a miss the product shall change the status of the offensive player to defensive',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall have a MDI form that allows for the viewing of the graph and the data table.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall search for available recycled parts for the supplied vehicle parts and suppliers.',Functional,Functional,Functional,Functional,Functional,Functional
'PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The preferred repair facility shall be returned to the user.',Functional,Functional,Functional,Functional,Functional,Functional
'PME Subsystem shall allow for a product to exist in more than one submenu',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.',Functional,Functional,Functional,Functional,Functional,Functional
'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'The system will display a blank set of ratings if there are not ratings yet defined.',Functional,Functional,Functional,Functional,Functional,Functional
'The product must support Internet Explorer 5.5 and above.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',Functional,Functional,Functional,Functional,Functional,Functional
'Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.',Functional,Functional,Functional,Functional,Functional,Functional
'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product will allow priviledged users to view meeting schedules in multiple reporting views.',Functional,Functional,Functional,Functional,Functional,Functional
'Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall have a consistent color scheme and fonts.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The leads washing functionality will have an interface in which lead data parameters can be maintained.',Functional,Functional,Functional,Functional,Functional,Functional
'The leads washing functionality will store any potential lead duplicates returned by the enterprise system.',Functional,Functional,Functional,Functional,Functional,Functional
'For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.',Functional,Functional,Functional,Functional,Functional,Functional
'The website shall not be offensive to religious or ethnic groups.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall have a conservative and professional appearance.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall be able to delete room equipment.',Functional,Functional,Functional,Functional,Functional,Functional
'The application shall ask the user to confirm dropping a player or trading a player before performing the action.',Functional,Functional,Functional,Functional,Functional,Functional
'The estimator shall apply selected recycled parts to the collision estimate.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall display the Events in a graph by time.',Functional,Functional,Functional,Functional,Functional,Functional
'The leads washing functionality will insert all leads captured by the web service.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be able support 1000 simultaneous users.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The system shall interface with CampusConnect’s central server',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.',Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'Vendor will submit a credit validation record to be applied to the enterprise billing system.',Functional,Functional,Functional,Functional,Functional,Functional
'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.',Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The system will provide a 24 hour 800 toll free number for support to its customers.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The System shall allow entering storing and modifying product formulas.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The vehicle data shall include vehicle year make and model',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The look and feel of the system shall conform to the user interface standards of the smart device.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
The product shall ensure that only supervisors can enter a caller’s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',Functional,Functional,Functional,Functional,Functional,Functional
'The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant’s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The recycled parts search results provided to the estimator shall be retrieved by the system.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall be built such that it is as secure as possible from malicious interference.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The streaming server will support 50 simultaneous streaming connections.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Functional
'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall ensure that the database’s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The product shall record different meeting types.',Functional,Functional,Functional,Functional,Functional,Functional
'The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',Functional,Functional,Non-Functional,Functional,Functional,Non-Functional
'The top 1/4 of the table will hold events that are to occur sequentially.',Functional,Functional,Functional,Functional,Functional,Functional
'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',Functional,Functional,Functional,Functional,Functional,Functional
'When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user’s connection.)',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall be able to display calendar dates and times according to the user’s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',Functional,Functional,Functional,Functional,Functional,Functional
'The audit report shall include the total number of recycled parts used in the estimate.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product’s Look and Feel shall be able to incorporate aspects of the customer’s organization such as logo branding and identity',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall comply with the estimatics laws relating to recycled parts usage.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'All aspects of the website shall be accessed by a web browser over the Internet.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Functional
'The system shall be able to call the seller or buyer to schedule an appointment',Functional,Functional,Functional,Functional,Functional,Functional
'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',Functional,Functional,Functional,Functional,Functional,Functional
'The leads washing functionality will compile both contact and academic scoring information for a total score.',Functional,Functional,Functional,Functional,Functional,Functional
'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.',Functional,Functional,Functional,Functional,Functional,Functional
'The search radius shall be between 1 and 30 miles',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall allow the user to save the property search results.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.',Non-Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The appearance of the product shall appear professional',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.',Functional,Functional,Functional,Functional,Functional,Functional
'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.',Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday – Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The leads washing functionality will validate all leads received by the web service for valid data',Functional,Functional,Functional,Functional,Functional,Functional
'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',Non-Functional,Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The website shall be available for use 24 hours per day 365 days per year.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall display a map of the company building showing conference room locations.',Functional,Functional,Functional,Functional,Functional,Functional
'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',Non-Functional,Functional,Functional,Functional,Functional,Functional
'PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.',Functional,Functional,Functional,Functional,Functional,Functional
'Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.',Functional,Functional,Functional,Functional,Functional,Functional
'The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.',Functional,Functional,Functional,Functional,Functional,Functional
'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall adhere to the corporate Architecture guidelines',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall have security.The product shall provide authentication and authorization.',Non-Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.',Functional,Functional,Functional,Functional,Functional,Functional
'The estimator shall search for available recycled parts using a list of preferred parts suppliers.',Functional,Functional,Functional,Functional,Functional,Functional
'The product shall be able to store new room equipment.',Functional,Functional,Functional,Functional,Functional,Functional
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.',Functional,Non-Functional,Non-Functional,Functional,Non-Functional,Non-Functional
'The website will provide a help section with answers and solutions to common problems.',Functional,Functional,Functional,Functional,Functional,Functional
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.',Non-Functional,Functional,Functional,Non-Functional,Non-Functional,Non-Functional
'A customer can only stream a movie if they purchased it and are within the 2 day viewing period.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The product shall allow a user to remove himself or herself from the list of players at any time.',Functional,Functional,Functional,Functional,Functional,Functional
'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The Disputes System shall provide view access capability for authorized users of the application.',Non-Functional,Functional,Functional,Functional,Functional,Functional
'The interface must summarize the data in a fashion that’s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',Functional,Functional,Functional,Functional,Non-Functional,Non-Functional
'The maintenance of the product will fall within the established corporate maintenance windows.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The System shall not require additional third party licenses resulting in royalty fees.',Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',Functional,Functional,Non-Functional,Non-Functional,Non-Functional,Non-Functional
'If a user account is revoked it can only be re-instantiated by the System Administrator.',Non-Functional,Functional,Non-Functional,Functional,Functional,Functional
'The adjuster shall review the collision estimate.',Functional,Functional,Functional,Functional,Functional,Functional
'The product will update existing room equipment.',Functional,Functional,Functional,Functional,Functional,Functional
